timestamp	step	loss
1635505923312	0	2.293687582015991
1635505932921	1	2.273624897003174
1635505942806	2	2.248483896255493
1635505953605	3	2.2177376747131348
1635505964745	4	2.180615186691284
1635505975017	5	2.1383419036865234
1635505984402	6	2.091059684753418
1635505993862	7	2.039321184158325
1635506003367	8	1.9821006059646606
1635506012803	9	1.9205658435821533
1635506616544	24	0.12947680056095123
1635506627051	25	0.12922550737857819
1635506637005	26	0.1291694939136505
1635506647773	27	0.12813876569271088
1635506658475	28	0.12778009474277496
1635506668260	29	0.127640500664711
1635506679335	30	0.12647724151611328
1635506690428	31	0.1262538582086563
1635506701322	32	0.126116082072258
1635506712687	33	0.12552687525749207
